Time;Total_SIF
03.06.2019 07:04;23.25046591
03.06.2019 07:05;25.34270399
03.06.2019 07:06;23.6820882
03.06.2019 07:07;29.86895337
03.06.2019 07:07;22.72258302
03.06.2019 07:08;21.32971243
03.06.2019 07:09;27.66426697
03.06.2019 07:09;30.2706919
03.06.2019 07:10;25.04873467
03.06.2019 07:11;22.73266551
03.06.2019 07:11;25.10787898
03.06.2019 07:12;24.01420976
03.06.2019 07:13;24.84029234
03.06.2019 07:14;24.71607921
03.06.2019 07:14;22.74947092
03.06.2019 07:15;25.84398258
03.06.2019 07:16;25.86658379
03.06.2019 07:16;27.16174593
03.06.2019 07:17;27.20841041
03.06.2019 07:18;36.14747832
03.06.2019 07:19;34.8416201
03.06.2019 07:19;23.51516506
03.06.2019 07:20;23.28993434
03.06.2019 07:21;22.56593757
03.06.2019 07:21;28.85501683
03.06.2019 07:22;31.34738615
03.06.2019 07:23;33.91173252
03.06.2019 07:23;30.86643119
03.06.2019 07:24;26.27513312
03.06.2019 07:25;37.84191204
03.06.2019 07:26;26.59526631
03.06.2019 07:26;32.34269192
03.06.2019 07:27;40.02202616
03.06.2019 07:28;37.99294731
03.06.2019 07:28;36.30804705
03.06.2019 07:29;32.04714471
03.06.2019 07:30;33.66433214
03.06.2019 07:30;36.25572878
03.06.2019 07:31;35.13954025
03.06.2019 07:32;31.32745342
03.06.2019 07:33;35.23482931
03.06.2019 07:33;33.64163808
03.06.2019 07:34;37.58605963
03.06.2019 07:35;38.72009175
03.06.2019 07:35;34.2360363
03.06.2019 07:36;27.81947296
03.06.2019 07:37;38.54306611
03.06.2019 07:37;40.69790324
03.06.2019 07:38;42.08628286
03.06.2019 07:39;40.53964183
03.06.2019 07:40;29.10682806
03.06.2019 07:40;37.70976368
03.06.2019 07:41;37.45297425
03.06.2019 07:41;38.08933055
03.06.2019 07:42;36.95576104
03.06.2019 07:43;38.8899358
03.06.2019 07:43;42.06949335
03.06.2019 07:44;39.72898937
03.06.2019 07:45;35.98965808
03.06.2019 07:45;43.68998918
03.06.2019 07:46;41.96361898
03.06.2019 07:47;44.52312495
03.06.2019 07:48;40.55744044
03.06.2019 07:48;45.16385119
03.06.2019 07:49;43.73661941
03.06.2019 07:50;41.80770689
03.06.2019 07:50;40.90800919
03.06.2019 07:51;41.38470445
03.06.2019 07:51;38.82181139
03.06.2019 07:52;40.59729132
03.06.2019 07:53;41.08219607
03.06.2019 07:53;43.98200611
03.06.2019 07:54;43.26015267
03.06.2019 07:55;47.1999167
03.06.2019 07:55;37.24576184
03.06.2019 07:56;48.29300139
03.06.2019 07:57;42.53591249
03.06.2019 07:57;42.16820436
03.06.2019 07:58;48.07891256
03.06.2019 07:59;39.7225209
03.06.2019 08:00;49.64978879
03.06.2019 08:00;46.21176679
03.06.2019 08:01;45.65889786
03.06.2019 08:01;45.19138154
03.06.2019 08:02;48.34210788
03.06.2019 08:03;45.624158
03.06.2019 08:03;45.06469341
03.06.2019 08:04;42.28901404
03.06.2019 08:05;42.69929568
03.06.2019 08:05;47.02895866
03.06.2019 08:06;46.94254751
03.06.2019 08:07;44.40716477
03.06.2019 08:07;45.3916393
03.06.2019 08:08;44.52076616
03.06.2019 08:09;51.54299018
03.06.2019 08:09;52.14812766
03.06.2019 08:10;48.49718288
03.06.2019 08:10;44.5030027
03.06.2019 08:11;53.33620801
03.06.2019 08:12;46.27966544
03.06.2019 08:12;39.86591815
03.06.2019 08:13;43.65588229
03.06.2019 08:14;45.63477444
03.06.2019 08:14;47.36766414
03.06.2019 08:15;42.07706028
03.06.2019 08:16;52.8845656
03.06.2019 08:16;52.72855955
03.06.2019 08:17;52.94317733
03.06.2019 08:17;36.72649104
03.06.2019 08:18;48.19739654
03.06.2019 08:19;47.77183173
03.06.2019 08:19;50.73580429
03.06.2019 08:20;49.65186227
03.06.2019 08:21;49.11291307
03.06.2019 08:21;47.09508911
03.06.2019 08:22;40.85403327
03.06.2019 08:23;54.08674993
03.06.2019 08:23;44.48732887
03.06.2019 08:24;50.26570413
03.06.2019 08:25;39.04904539
03.06.2019 08:25;42.29810063
03.06.2019 08:26;46.14865166
03.06.2019 08:26;35.9728717
03.06.2019 08:27;46.81336137
03.06.2019 08:28;49.47280802
03.06.2019 08:28;50.09357694
03.06.2019 08:29;53.85275509
03.06.2019 08:30;37.86512712
03.06.2019 08:30;49.62543708
03.06.2019 08:31;42.63581242
03.06.2019 08:32;53.76386781
03.06.2019 08:32;42.14923616
03.06.2019 08:33;54.98182504
03.06.2019 08:33;62.71880527
03.06.2019 08:34;60.03507146
03.06.2019 08:35;52.16306893
03.06.2019 08:35;50.31244292
03.06.2019 08:36;57.7204065
03.06.2019 08:37;45.47657169
03.06.2019 08:37;36.84112633
03.06.2019 08:38;49.28192061
03.06.2019 08:38;46.6649832
03.06.2019 08:39;47.63748468
03.06.2019 08:40;46.14808315
